Division,who,with who,total time,W/L/T,Hurdles,name,start,1.dog,name.1,chng,2.dog,name.2,chng.1,3.dog,name.3,chng.2,4.dog,when,location,track,championship
2.0,Lavina Alfa,X-treme,23.35,W,27.5,Bria,0.16,3.84,Vojta,0.68,3.97,Aida,0.36,4,Bambi,0.23,3.96,2023-10-15 12:04:29,Vodňany,4,cz
2.0,X-treme,Lavina Alfa,22.35,L,25.0,Kerby,0.09,3.89,Nesi,0.12,4.71,Mína,error,3.81,Maze,0,4.14,2023-10-15 12:04:29,Vodňany,5,cz
2.0,Lavina Alfa,X-treme,16.29,W,27.5,Bria,0.07,3.8,Vojta,0.22,4.02,Aida,0.13,3.99,Bambi,0,4.06,2023-10-15 12:05:33,Vodňany,4,cz
2.0,X-treme,Lavina Alfa,16.18,L,25.0,Kerby,0.31,3.86,Nesi,0.12,3.92,Mína,0.15,3.8,Maze,error,4.02,2023-10-15 12:05:33,Vodňany,5,cz
2.0,Jokers All-in,WildRunners dreamers,16.55,W,25.0,Lumine,0.12,3.86,Salma,0,4.05,Izzy,0.42,3.93,Bepe,0.29,3.88,2023-10-15 12:10:27,Vodňany,4,cz
2.0,WildRunners dreamers,Jokers All-in,19.63,L,27.5,Cookies,0.13,3.79,Maggie,0.49,4.03,Sirius,0.31,3.88,Alfie,0.36,outside,2023-10-15 12:10:27,Vodňany,5,cz
2.0,Jokers All-in,WildRunners dreamers,16.32,W,25.0,Lumine,0.08,3.79,Salma,0.16,3.93,Izzy,0.24,3.93,Bepe,0.27,3.92,2023-10-15 12:11:29,Vodňany,4,cz
2.0,WildRunners dreamers,Jokers All-in,16.17,L,27.5,Cookies,-0.13,3.84,Maggie,0.59,outside,Sirius,,3.91,Alfie,0.14,3.85,2023-10-15 12:11:29,Vodňany,5,cz
2.0,Jokers All-in,WildRunners dreamers,15.98,W,25.0,Lumine,0.009,3.84,Salma,0,4.1,Izzy,0.16,3.96,Bepe,0,3.92,2023-10-15 12:12:35,Vodňany,4,cz
2.0,WildRunners dreamers,Jokers All-in,16.26,L,27.5,Cookies,0.2,3.81,Maggie,0.32,3.98,Sirius,0,3.96,Alfie,0.13,3.87,2023-10-15 12:12:35,Vodňany,5,cz
4.0,Hellodogs Rebounds,WildRunners Maximini,22.83,W,17.5,Midi,0.29,4.17,Lara,error,3.97,Able,0.3,3.97,Negró,0.23,4.74,2023-10-15 12:18:35,Vodňany,4,cz
4.0,WildRunners Maximini,Hellodogs Rebounds,23.98,L,27.5,Nina,0.07,4.03,Brooke,error,4.07,Bree,error,4.12,Alex,0.24,4.15,2023-10-15 12:18:35,Vodňany,5,cz
4.0,Hellodogs Rebounds,WildRunners Maximini,17.55,L,17.5,Midi,0.15,4.15,Lara,0.21,4.04,Able,0,4.08,Negró,0,4.93,2023-10-15 12:19:35,Vodňany,4,cz
4.0,WildRunners Maximini,Hellodogs Rebounds,17.09,W,27.5,Nina,0.01,4.05,Brooke,0.27,4.18,Bree,0.21,4.1,Alex,0,4.28,2023-10-15 12:19:35,Vodňany,5,cz
